Node,S30,S10,S90,S120,S30 in liter,S10 in liter,S90 liter,S120 in liter,Rain,Max Wind Spd km/h,Min Temp,Max Temp,Daily water usage,Duration of Sprinkler
1,12.52,14.63,16.86,9.42,37.56,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.52,14.63,16.86,9.42,37.56,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.52,14.63,16.86,9.42,37.56,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.53,14.63,16.86,9.42,37.59,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.53,14.63,16.86,9.42,37.59,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.53,14.63,16.86,9.42,37.59,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.53,14.63,16.86,9.43,37.59,14.63,151.74,113.16,0,41,23.1,32.6,2200,20
1,12.53,14.63,16.86,9.42,37.59,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.63,16.86,9.42,37.62,14.63,151.74,113.04,0,41,23.1,32.6,2200,20
1,12.54,14.62,16.86,9.42,37.62,14.62,151.74,113.04,0,41,23.1,32.6,2000,18
1,12.53,14.62,16.86,9.42,37.59,14.62,151.74,113.04,0,41,23.1,32.6,2000,18
1,12.53,14.62,16.86,9.42,37.59,14.62,151.74,113.04,0,41,23.1,32.6,2000,18
1,12.53,14.62,16.86,9.42,37.59,14.62,151.74,113.04,0,41,23.1,32.6,2000,18
1,12.53,14.62,16.86,9.42,37.59,14.62,151.74,113.04,0,41,23.1,32.6,2000,18
1,12.53,14.62,16.86,9.41,37.59,14.62,151.74,112.92,0,41,23.1,32.6,2000,18
1,12.49,14.6,16.85,9.4,37.47,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
1,12.49,14.6,16.85,9.4,37.47,14.6,151.65,112.8,0,43,21.2,33.1,1900,16
